CustomerID,InvoiceDate,InvoiceNo,Quantity,UnitPrice,Country
CUST1057,2023-11-13,INV100057,12,91.95,Italy
CUST1058,2023-07-05,INV100058,2,96.08,Australia
CUST1059,2023-10-23,INV100059,10,10.5,Germany
CUST1060,2023-04-09,INV100060,4,42.48,United Kingdom
CUST1061,2023-12-27,INV100061,14,15.14,Germany
CUST1062,2023-02-05,INV100062,16,36.89,Spain
CUST1063,2023-01-24,INV100063,15,21.12,Italy
CUST1064,2023-12-05,INV100064,8,66.45,Germany
CUST1065,2023-04-27,INV100065,14,41.89,France
CUST1066,2023-05-29,INV100066,8,26.79,Spain
CUST1067,2023-02-10,INV100067,16,30.26,Spain
CUST1068,2023-04-30,INV100068,13,39.23,Germany
CUST1069,2023-02-21,INV100069,18,29.7,Canada
CUST1070,2023-07-14,INV100070,15,48.06,Germany
CUST1071,2023-05-23,INV100071,13,8.07,Canada
CUST1072,2023-08-21,INV100072,9,31.58,Italy
CUST1073,2023-11-22,INV100073,15,44.06,United Kingdom
CUST1074,2023-07-06,INV100074,13,62.26,Germany
CUST1075,2023-03-25,INV100075,1,30.74,Netherlands
CUST1076,2023-07-09,INV100076,7,17.65,Canada
CUST1077,2023-07-01,INV100077,9,12.24,Germany
CUST1078,2023-04-18,INV100078,1,94.35,Australia
CUST1079,2023-12-10,INV100079,12,44.58,France
CUST1080,2023-05-17,INV100080,8,60.21,Netherlands
CUST1081,2023-12-26,INV100081,11,92.32,Netherlands
CUST1082,2023-12-16,INV100082,19,12.86,Canada
CUST1083,2023-11-28,INV100083,17,88.28,Australia
CUST1084,2023-02-06,INV100084,8,57.4,Australia
CUST1085,2023-11-08,INV100085,3,20.66,Spain
CUST1086,2023-11-22,INV100086,3,44.07,Canada
CUST1087,2023-03-29,INV100087,1,78.87,United Kingdom
CUST1088,2023-10-01,INV100088,5,50.64,France
CUST1089,2023-05-06,INV100089,10,98.6,Italy
CUST1090,2023-03-25,INV100090,7,40.79,Netherlands
CUST1091,2023-08-25,INV100091,9,76.21,Italy
CUST1092,2023-07-14,INV100092,7,42.33,Germany
CUST1093,2023-05-19,INV100093,9,83.77,Germany
CUST1094,2023-11-24,INV100094,8,59.06,Italy
CUST1095,2023-12-19,INV100095,12,11.03,Germany
CUST1096,2023-10-13,INV100096,2,8.5,United Kingdom
CUST1097,2023-04-23,INV100097,1,17.72,Australia
CUST1098,2023-12-17,INV100098,16,6.3,Germany
CUST1099,2023-06-16,INV100099,5,12.16,Spain
CUST1100,2023-01-29,INV100100,3,70.71,Germany
CUST1101,2023-04-28,INV100101,12,55.76,France
CUST1102,2023-01-17,INV100102,8,76.24,United Kingdom
CUST1103,2023-06-11,INV100103,3,91.75,France
CUST1104,2023-07-25,INV100104,1,60.59,France
CUST1105,2023-05-18,INV100105,3,73.98,Spain
CUST1106,2023-02-03,INV100106,5,76.92,United Kingdom
CUST1107,2023-04-19,INV100107,15,40.9,United Kingdom
CUST1108,2023-10-18,INV100108,14,27.9,Canada
CUST1109,2023-06-11,INV100109,3,24.48,United Kingdom
CUST1110,2023-04-19,INV100110,1,28.89,United Kingdom
CUST1111,2023-12-02,INV100111,5,31.1,United Kingdom
CUST1112,2023-09-13,INV100112,14,24.69,Spain
CUST1113,2023-07-22,INV100113,7,88.43,Germany
CUST1114,2023-11-26,INV100114,9,76.91,Canada
CUST1115,2023-08-23,INV100115,15,9.46,France
CUST1116,2023-03-15,INV100116,15,30.52,United Kingdom
CUST1117,2023-05-16,INV100117,10,7.11,Netherlands
CUST1118,2023-03-13,INV100118,13,52.33,Germany
CUST1119,2023-05-07,INV100119,19,50.24,Germany
CUST1120,2023-10-15,INV100120,7,83.98,France
CUST1121,2023-10-03,INV100121,17,34.24,Spain
CUST1122,2023-05-15,INV100122,20,82.56,Italy
CUST1123,2023-10-27,INV100123,4,96.96,Italy
CUST1124,2023-08-08,INV100124,5,13.4,Germany
CUST1125,2023-10-26,INV100125,7,80.22,Australia
CUST1126,2023-07-24,INV100126,13,61.05,Australia
CUST1127,2023-07-05,INV100127,15,50.6,France
CUST1128,2023-04-23,INV100128,11,44.95,Italy
CUST1129,2023-03-12,INV100129,4,79.54,Germany
CUST1130,2023-09-18,INV100130,13,65.74,Spain
CUST1131,2023-09-10,INV100131,7,81.48,Italy
CUST1132,2023-02-16,INV100132,19,90.8,Germany
CUST1133,2023-01-25,INV100133,2,63.64,Germany
CUST1134,2023-02-26,INV100134,10,98.14,United Kingdom
CUST1135,2023-03-20,INV100135,13,62.77,Spain
CUST1136,2023-11-18,INV100136,6,65.48,United Kingdom
CUST1137,2023-03-23,INV100137,12,57.71,France
CUST1138,2023-12-15,INV100138,12,13.65,United Kingdom
CUST1139,2023-08-05,INV100139,20,74.01,Netherlands
CUST1140,2023-11-02,INV100140,11,57.01,United Kingdom
CUST1141,2023-02-02,INV100141,7,47.84,Netherlands
CUST1142,2023-07-17,INV100142,1,91.49,Italy
CUST1143,2023-07-15,INV100143,1,33.31,Australia
CUST1144,2023-11-02,INV100144,20,54.74,Canada
CUST1145,2023-08-28,INV100145,13,71.28,Canada
CUST1146,2023-09-28,INV100146,9,80.66,Germany
CUST1147,2023-05-09,INV100147,3,48.64,Canada
CUST1148,2023-10-11,INV100148,7,85.0,Netherlands
CUST1149,2023-01-06,INV100149,6,78.05,Spain
CUST1150,2023-12-15,INV100150,8,11.29,United Kingdom
CUST1151,2023-02-28,INV100151,9,9.36,Netherlands
CUST1152,2023-12-16,INV100152,5,63.98,Spain
CUST1153,2023-10-02,INV100153,1,38.0,Australia
CUST1154,2023-05-17,INV100154,19,24.87,Canada
CUST1155,2023-11-25,INV100155,10,60.07,Australia
CUST1156,2023-06-24,INV100156,12,37.45,Canada
CUST1157,2023-02-27,INV100157,15,56.04,United Kingdom
CUST1158,2023-05-31,INV100158,9,48.71,France
CUST1159,2023-08-11,INV100159,20,60.55,United Kingdom
CUST1160,2023-03-22,INV100160,17,43.03,Italy
CUST1161,2023-08-21,INV100161,17,71.28,Netherlands
CUST1162,2023-01-02,INV100162,20,22.11,Germany
CUST1163,2023-05-15,INV100163,12,71.17,France
CUST1164,2023-09-14,INV100164,7,44.11,United Kingdom
CUST1165,2023-04-02,INV100165,2,88.06,Spain
CUST1166,2023-09-17,INV100166,3,53.95,France
CUST1167,2023-02-24,INV100167,17,97.45,Netherlands
CUST1168,2023-11-17,INV100168,5,62.18,Canada
CUST1169,2023-06-02,INV100169,17,26.27,France
CUST1170,2023-11-24,INV100170,17,83.07,Canada
CUST1171,2023-09-17,INV100171,17,37.78,Netherlands
CUST1172,2023-11-08,INV100172,2,38.02,United Kingdom
CUST1173,2023-04-12,INV100173,2,8.02,Netherlands
CUST1174,2023-03-20,INV100174,5,57.13,France
CUST1175,2023-07-11,INV100175,1,55.77,Spain
CUST1176,2023-03-24,INV100176,1,38.82,Australia
CUST1177,2023-10-04,INV100177,19,89.95,France
CUST1178,2023-09-29,INV100178,2,17.23,Netherlands
CUST1179,2023-01-01,INV100179,12,36.36,Australia
CUST1180,2023-11-03,INV100180,6,35.55,Netherlands
CUST1181,2023-06-15,INV100181,4,13.77,Spain
CUST1182,2023-09-08,INV100182,11,50.71,Netherlands
CUST1183,2023-01-10,INV100183,17,70.34,United Kingdom
CUST1184,2023-02-27,INV100184,6,53.61,Germany
CUST1185,2023-07-05,INV100185,5,19.91,Canada
CUST1186,2023-06-07,INV100186,20,40.84,Canada
CUST1187,2023-05-03,INV100187,2,5.25,France
CUST1188,2023-01-30,INV100188,6,87.49,Germany
CUST1189,2023-05-04,INV100189,11,13.03,Netherlands
CUST1190,2023-10-18,INV100190,16,61.74,Spain
CUST1191,2023-02-10,INV100191,16,98.69,France
CUST1192,2023-02-13,INV100192,1,55.98,Netherlands
CUST1193,2023-09-06,INV100193,9,92.78,Australia
CUST1194,2023-02-05,INV100194,6,27.43,Italy
CUST1195,2023-09-30,INV100195,16,77.2,Netherlands
CUST1196,2023-03-06,INV100196,3,55.47,Germany
CUST1197,2023-03-07,INV100197,20,73.45,France
CUST1198,2023-12-04,INV100198,4,10.92,Germany
CUST1199,2023-09-01,INV100199,19,19.04,France
CUST1200,2023-10-09,INV100200,3,17.65,Netherlands
CUST1201,2023-03-26,INV100201,19,70.28,United Kingdom
CUST1202,2023-05-16,INV100202,20,85.22,Australia
CUST1203,2023-09-28,INV100203,7,76.21,Netherlands
CUST1204,2023-11-07,INV100204,20,7.89,Canada
CUST1205,2023-08-05,INV100205,9,87.39,Germany
CUST1206,2023-04-19,INV100206,1,38.64,Italy
CUST1207,2023-10-04,INV100207,8,42.73,Italy
CUST1208,2023-12-20,INV100208,7,14.96,Spain
CUST1209,2023-04-13,INV100209,18,75.05,France
CUST1210,2023-06-09,INV100210,8,22.32,Germany
CUST1211,2023-07-24,INV100211,1,58.58,Spain
CUST1212,2023-12-10,INV100212,11,84.87,Germany
CUST1213,2023-11-29,INV100213,18,13.47,Canada
CUST1214,2023-07-11,INV100214,10,55.86,France
CUST1215,2023-08-13,INV100215,3,27.16,Netherlands
CUST1216,2023-09-22,INV100216,7,37.58,Netherlands
CUST1217,2023-08-20,INV100217,16,50.03,Italy
CUST1218,2023-03-03,INV100218,16,38.73,Netherlands
CUST1219,2023-05-07,INV100219,20,66.64,Netherlands
CUST1220,2023-04-26,INV100220,17,50.56,Canada
CUST1221,2023-02-02,INV100221,2,60.5,United Kingdom
CUST1222,2023-06-23,INV100222,1,75.0,Italy
CUST1223,2023-01-11,INV100223,16,57.99,Spain
CUST1224,2023-10-29,INV100224,12,60.72,Australia
CUST1225,2023-10-11,INV100225,5,58.62,United Kingdom
CUST1226,2023-04-28,INV100226,5,40.98,Spain
CUST1227,2023-10-29,INV100227,9,37.06,France
CUST1228,2023-04-23,INV100228,9,90.47,United Kingdom
CUST1229,2023-01-04,INV100229,3,62.72,Canada
CUST1230,2023-02-06,INV100230,19,28.21,Spain
CUST1231,2023-12-29,INV100231,16,52.33,France
CUST1232,2023-11-20,INV100232,16,36.38,Italy
CUST1233,2023-01-31,INV100233,3,93.7,Australia
CUST1234,2023-04-28,INV100234,20,5.72,France
CUST1235,2023-02-04,INV100235,1,26.41,Netherlands
CUST1236,2023-01-17,INV100236,20,39.71,Germany
CUST1237,2023-06-19,INV100237,11,51.34,France
CUST1238,2023-02-06,INV100238,17,85.83,France
CUST1239,2023-09-21,INV100239,8,13.35,Australia
CUST1240,2023-05-02,INV100240,4,81.56,Germany
CUST1241,2023-05-23,INV100241,6,10.29,Netherlands
CUST1242,2023-12-09,INV100242,8,85.02,Spain
CUST1243,2023-09-06,INV100243,20,9.91,Spain
CUST1244,2023-04-20,INV100244,3,6.73,France
CUST1245,2023-10-04,INV100245,16,71.21,Canada
CUST1246,2023-03-09,INV100246,3,99.74,Canada
CUST1247,2023-10-20,INV100247,18,90.18,Germany
CUST1248,2023-10-23,INV100248,14,59.72,Germany
CUST1249,2023-08-31,INV100249,18,92.15,Netherlands
CUST1250,2023-05-05,INV100250,2,5.5,Australia
CUST1251,2023-08-31,INV100251,3,97.63,Italy
CUST1252,2023-07-28,INV100252,16,51.62,Spain
CUST1253,2023-04-08,INV100253,9,73.68,Australia
CUST1254,2023-02-18,INV100254,4,82.98,United Kingdom
CUST1255,2023-02-19,INV100255,1,73.25,Spain
CUST1256,2023-12-04,INV100256,4,55.83,Australia
CUST1257,2023-08-09,INV100257,1,50.28,Spain
CUST1258,2023-07-01,INV100258,14,84.67,Italy
CUST1259,2023-08-05,INV100259,16,24.48,United Kingdom
CUST1260,2023-07-30,INV100260,20,96.96,Canada
CUST1261,2023-08-28,INV100261,8,72.54,Canada
CUST1262,2023-01-28,INV100262,7,23.95,Italy
CUST1263,2023-12-11,INV100263,3,74.94,Netherlands
CUST1264,2023-12-01,INV100264,17,55.33,United Kingdom
CUST1265,2023-11-27,INV100265,1,72.19,France
CUST1266,2023-02-20,INV100266,16,77.94,Australia
CUST1267,2023-02-01,INV100267,12,13.29,United Kingdom
CUST1268,2023-07-26,INV100268,19,53.08,Netherlands
CUST1269,2023-06-23,INV100269,14,93.54,Netherlands
CUST1270,2023-02-25,INV100270,6,35.46,Italy
CUST1271,2023-05-08,INV100271,6,61.42,Spain
CUST1272,2023-04-09,INV100272,13,40.08,United Kingdom
CUST1273,2023-04-08,INV100273,19,48.16,Australia
CUST1274,2023-10-02,INV100274,8,57.12,United Kingdom
CUST1275,2023-08-18,INV100275,2,57.15,Germany
CUST1276,2023-03-13,INV100276,1,24.16,Spain
CUST1277,2023-08-05,INV100277,15,70.03,Australia
CUST1278,2023-04-04,INV100278,1,13.35,Canada
CUST1279,2023-05-23,INV100279,5,18.19,Australia
CUST1280,2023-08-25,INV100280,16,5.26,France
CUST1281,2023-05-08,INV100281,19,16.09,Italy
CUST1282,2023-02-08,INV100282,4,49.95,France
CUST1283,2023-08-15,INV100283,3,62.58,Australia
CUST1284,2023-10-09,INV100284,17,80.46,Spain
CUST1285,2023-02-20,INV100285,17,15.14,United Kingdom
CUST1286,2023-01-26,INV100286,12,85.82,Canada
CUST1287,2023-11-30,INV100287,14,75.87,United Kingdom
CUST1288,2023-10-04,INV100288,6,43.81,Spain
CUST1289,2023-01-08,INV100289,3,93.63,Australia
CUST1290,2023-02-17,INV100290,9,99.14,Netherlands
CUST1291,2023-05-02,INV100291,5,24.48,United Kingdom
CUST1292,2023-03-27,INV100292,17,41.03,Netherlands
CUST1293,2023-07-28,INV100293,14,93.01,United Kingdom
CUST1294,2023-09-06,INV100294,3,73.55,United Kingdom
CUST1295,2023-09-04,INV100295,1,9.57,Canada
CUST1296,2023-04-20,INV100296,20,79.24,Italy
CUST1297,2023-07-25,INV100297,1,83.65,Italy
CUST1298,2023-01-31,INV100298,3,76.3,Germany
CUST1299,2023-03-26,INV100299,18,80.96,France
CUST1300,2023-07-14,INV100300,10,83.39,Spain
CUST1301,2023-01-02,INV100301,3,22.71,Spain
CUST1302,2023-07-19,INV100302,8,27.39,Spain
CUST1303,2023-05-16,INV100303,14,65.21,Germany
CUST1304,2023-08-21,INV100304,18,91.25,Italy
CUST1305,2023-05-27,INV100305,15,35.04,Australia
CUST1306,2023-08-05,INV100306,2,60.89,Netherlands
CUST1307,2023-12-23,INV100307,10,69.88,Canada
CUST1308,2023-10-12,INV100308,2,47.94,Netherlands
CUST1309,2023-12-05,INV100309,17,72.81,Australia
CUST1310,2023-09-07,INV100310,8,90.47,Canada
CUST1311,2023-03-21,INV100311,1,64.29,Germany
CUST1312,2023-04-08,INV100312,9,56.28,Australia
CUST1313,2023-06-01,INV100313,11,46.68,Spain
CUST1314,2023-04-22,INV100314,16,59.86,France
CUST1315,2023-01-30,INV100315,7,38.76,United Kingdom
CUST1316,2023-10-24,INV100316,10,42.19,Netherlands
CUST1317,2023-10-05,INV100317,3,55.53,Italy
CUST1318,2023-02-01,INV100318,18,11.33,Italy
CUST1319,2023-06-10,INV100319,13,26.76,Germany
CUST1320,2023-01-30,INV100320,7,56.57,Canada
CUST1321,2023-01-26,INV100321,4,46.0,Italy
CUST1322,2023-10-27,INV100322,13,36.62,Spain
CUST1323,2023-09-02,INV100323,20,74.4,Netherlands
CUST1324,2023-09-15,INV100324,1,70.9,Australia
CUST1325,2023-09-29,INV100325,8,20.84,Spain
CUST1326,2023-03-22,INV100326,14,88.47,Germany
CUST1327,2023-01-30,INV100327,16,52.07,Spain
CUST1328,2023-09-18,INV100328,14,75.44,Australia
CUST1329,2023-02-11,INV100329,12,59.45,France
CUST1330,2023-04-06,INV100330,19,99.78,Germany
CUST1331,2023-02-05,INV100331,15,76.48,France
CUST1332,2023-11-01,INV100332,2,72.16,United Kingdom
CUST1333,2023-02-04,INV100333,2,78.96,France
CUST1334,2023-12-12,INV100334,19,18.6,United Kingdom
CUST1335,2023-05-01,INV100335,17,24.43,United Kingdom
CUST1336,2023-07-26,INV100336,20,72.84,France
CUST1337,2023-03-03,INV100337,10,51.93,Germany
CUST1338,2023-10-19,INV100338,6,76.69,Canada
CUST1339,2023-05-07,INV100339,15,14.78,Australia
CUST1340,2023-10-24,INV100340,11,55.97,Spain
CUST1341,2023-11-01,INV100341,5,40.99,Spain
CUST1342,2023-01-21,INV100342,1,48.42,Australia
CUST1343,2023-11-14,INV100343,8,62.38,Netherlands
CUST1344,2023-02-11,INV100344,12,52.72,Netherlands
CUST1345,2023-08-03,INV100345,12,56.29,United Kingdom
CUST1346,2023-12-03,INV100346,5,51.2,United Kingdom
CUST1347,2023-10-26,INV100347,7,43.85,Germany
CUST1348,2023-10-17,INV100348,4,78.33,Italy
CUST1349,2023-09-25,INV100349,6,6.16,France
CUST1350,2023-06-11,INV100350,13,61.85,United Kingdom
CUST1351,2023-05-14,INV100351,20,58.72,Spain
CUST1352,2023-04-15,INV100352,15,73.04,Germany
CUST1353,2023-12-09,INV100353,3,61.91,France
CUST1354,2023-06-10,INV100354,8,83.55,Germany
CUST1355,2023-05-03,INV100355,20,96.11,France
CUST1356,2023-05-16,INV100356,16,37.54,France
CUST1357,2023-07-22,INV100357,13,26.6,Australia
CUST1358,2023-03-09,INV100358,18,45.24,United Kingdom
CUST1359,2023-12-10,INV100359,10,32.35,Canada
CUST1360,2023-11-27,INV100360,19,63.42,Germany
CUST1361,2023-06-03,INV100361,17,91.63,Canada
CUST1362,2023-08-23,INV100362,19,18.22,Germany
CUST1363,2023-06-11,INV100363,5,14.58,Australia
CUST1364,2023-02-07,INV100364,9,29.32,Spain
CUST1365,2023-01-05,INV100365,12,73.98,Canada
CUST1366,2023-08-23,INV100366,1,61.33,Spain
CUST1367,2023-11-15,INV100367,1,14.71,Netherlands
CUST1368,2023-10-16,INV100368,15,92.28,United Kingdom
CUST1369,2023-02-21,INV100369,2,80.06,United Kingdom
CUST1370,2023-02-07,INV100370,16,7.19,Italy
CUST1371,2023-10-03,INV100371,8,66.88,Australia
CUST1372,2023-04-20,INV100372,13,78.27,Spain
CUST1373,2023-09-17,INV100373,1,40.57,France
CUST1374,2023-05-16,INV100374,16,11.55,Germany
CUST1375,2023-03-09,INV100375,7,12.35,United Kingdom
CUST1376,2023-06-28,INV100376,5,14.9,Canada
CUST1377,2023-02-05,INV100377,3,84.84,Germany
CUST1378,2023-05-06,INV100378,12,91.52,Germany
CUST1379,2023-07-09,INV100379,16,16.67,Italy
CUST1380,2023-05-26,INV100380,19,27.41,Spain
CUST1381,2023-03-22,INV100381,5,20.72,United Kingdom
CUST1382,2023-08-13,INV100382,14,22.7,Germany
CUST1383,2023-10-06,INV100383,5,84.56,United Kingdom
CUST1384,2023-12-27,INV100384,15,36.55,France
CUST1385,2023-06-04,INV100385,17,34.59,Italy
CUST1386,2023-11-10,INV100386,14,26.6,France
CUST1387,2023-12-01,INV100387,20,62.75,United Kingdom
CUST1388,2023-09-28,INV100388,5,41.03,Netherlands
CUST1389,2023-01-05,INV100389,12,75.7,Canada
CUST1390,2023-12-08,INV100390,16,24.53,United Kingdom
CUST1391,2023-10-11,INV100391,16,79.84,Spain
CUST1392,2023-06-03,INV100392,7,62.35,Germany
CUST1393,2023-12-06,INV100393,4,15.86,Germany
CUST1394,2023-02-23,INV100394,1,44.38,France
CUST1395,2023-03-10,INV100395,5,87.03,Canada
CUST1396,2023-05-16,INV100396,10,92.68,Italy
CUST1397,2023-03-01,INV100397,5,49.24,Netherlands
CUST1398,2023-02-24,INV100398,4,50.68,Australia
CUST1399,2023-10-11,INV100399,2,92.25,Canada
CUST1400,2023-03-21,INV100400,20,60.77,Germany
CUST1401,2023-05-20,INV100401,10,8.12,Spain
CUST1402,2023-05-25,INV100402,19,91.71,Canada
CUST1403,2023-11-06,INV100403,1,28.58,France
CUST1404,2023-04-18,INV100404,5,59.88,France
CUST1405,2023-06-25,INV100405,13,20.72,Australia
CUST1406,2023-04-15,INV100406,4,8.22,Spain
CUST1407,2023-12-18,INV100407,16,34.59,Italy
CUST1408,2023-11-21,INV100408,16,79.15,Canada
CUST1409,2023-05-16,INV100409,2,31.37,Spain
CUST1410,2023-09-16,INV100410,17,25.91,Italy
CUST1411,2023-09-08,INV100411,20,25.2,Spain
CUST1412,2023-05-09,INV100412,12,53.94,Spain
CUST1413,2023-01-27,INV100413,18,97.68,United Kingdom
CUST1414,2023-02-17,INV100414,3,48.6,France
CUST1415,2023-11-21,INV100415,1,57.94,Canada
CUST1416,2023-08-05,INV100416,1,86.76,Spain
CUST1417,2023-05-22,INV100417,19,55.83,Canada
CUST1418,2023-01-23,INV100418,11,22.52,Australia
CUST1419,2023-01-02,INV100419,5,33.46,Spain
CUST1420,2023-06-20,INV100420,12,34.44,Germany
CUST1421,2023-03-08,INV100421,3,42.75,France
CUST1422,2023-11-23,INV100422,1,45.54,Germany
CUST1423,2023-05-15,INV100423,1,80.98,Canada
CUST1424,2023-03-24,INV100424,8,38.19,Canada
CUST1425,2023-08-15,INV100425,10,49.48,France
CUST1426,2023-10-10,INV100426,11,64.37,Canada
CUST1427,2023-12-28,INV100427,12,40.88,Germany
CUST1428,2023-08-07,INV100428,13,84.47,Spain
CUST1429,2023-10-15,INV100429,12,60.81,Spain
CUST1430,2023-01-05,INV100430,14,32.93,United Kingdom
CUST1431,2023-02-27,INV100431,2,72.84,Australia
CUST1432,2023-02-08,INV100432,19,55.13,Canada
CUST1433,2023-12-20,INV100433,18,55.77,Germany
CUST1434,2023-03-18,INV100434,3,50.7,Canada
CUST1435,2023-10-07,INV100435,17,52.22,Canada
CUST1436,2023-01-19,INV100436,8,77.71,Italy
CUST1437,2023-07-09,INV100437,10,14.78,United Kingdom
CUST1438,2023-10-26,INV100438,2,36.76,Germany
CUST1439,2023-10-10,INV100439,19,12.17,Germany
CUST1440,2023-03-17,INV100440,9,76.56,Canada
CUST1441,2023-08-09,INV100441,7,30.87,United Kingdom
CUST1442,2023-03-07,INV100442,4,90.26,Spain
CUST1443,2023-01-22,INV100443,18,55.02,Germany
CUST1444,2023-06-07,INV100444,13,81.07,Spain
CUST1445,2023-07-06,INV100445,11,98.0,United Kingdom
CUST1446,2023-01-21,INV100446,4,84.78,Spain
CUST1447,2023-07-03,INV100447,4,87.36,France
CUST1448,2023-04-18,INV100448,10,43.76,Italy
CUST1449,2023-12-16,INV100449,5,57.41,Netherlands
CUST1450,2023-05-08,INV100450,9,29.12,Germany
CUST1451,2023-12-08,INV100451,3,23.63,Australia
CUST1452,2023-02-22,INV100452,17,53.02,Italy
CUST1453,2023-07-01,INV100453,3,61.53,Netherlands
CUST1454,2023-10-14,INV100454,16,37.23,Spain
CUST1455,2023-07-28,INV100455,4,59.1,Germany
CUST1456,2023-11-14,INV100456,18,89.31,Spain
CUST1457,2023-03-21,INV100457,17,57.89,France
CUST1458,2023-05-02,INV100458,7,73.48,United Kingdom
CUST1459,2023-03-25,INV100459,5,81.5,Germany
CUST1460,2023-04-01,INV100460,12,98.93,Netherlands
CUST1461,2023-07-31,INV100461,17,62.3,Netherlands
CUST1462,2023-01-13,INV100462,13,81.65,France
CUST1463,2023-04-02,INV100463,3,96.45,France
CUST1464,2023-06-20,INV100464,9,94.72,Canada
CUST1465,2023-07-30,INV100465,17,18.4,Germany
CUST1466,2023-12-09,INV100466,17,43.61,Spain
CUST1467,2023-05-08,INV100467,20,35.78,Australia
CUST1468,2023-05-17,INV100468,16,13.26,Netherlands
CUST1469,2023-03-23,INV100469,13,65.16,Netherlands
CUST1470,2023-12-26,INV100470,19,74.91,France
CUST1471,2023-02-25,INV100471,17,85.57,Italy
CUST1472,2023-07-15,INV100472,4,16.66,France
CUST1473,2023-01-20,INV100473,12,88.26,Australia
CUST1474,2023-08-29,INV100474,9,66.08,Spain
CUST1475,2023-04-24,INV100475,19,71.87,Spain
CUST1476,2023-04-13,INV100476,12,91.51,Italy
CUST1477,2023-08-24,INV100477,9,64.35,Netherlands
CUST1478,2023-06-29,INV100478,7,36.91,France
CUST1479,2023-06-06,INV100479,14,83.39,Canada
CUST1480,2023-04-27,INV100480,20,39.49,Spain
CUST1481,2023-04-25,INV100481,19,8.25,Australia
CUST1482,2023-01-13,INV100482,15,83.91,Germany
CUST1483,2023-12-04,INV100483,16,37.79,United Kingdom
CUST1484,2023-04-09,INV100484,5,78.51,United Kingdom
CUST1485,2023-07-24,INV100485,3,39.46,United Kingdom
CUST1486,2023-06-18,INV100486,12,86.8,Canada
CUST1487,2023-05-23,INV100487,20,25.85,Netherlands
CUST1488,2023-02-05,INV100488,4,97.58,France
CUST1489,2023-05-23,INV100489,16,79.08,Italy
CUST1490,2023-06-29,INV100490,7,15.85,Canada
